Macrotrends Data Download,
,
National Debt Growth by Year,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date, value
01-12-1967,4.66
01-12-1968,3.88
01-12-1969,2.85
01-12-1970,5.68
01-12-1971,8.99
01-12-1972,5.74
01-12-1973,4.59
01-12-1974,5.03
01-12-1975,17.05
01-12-1976,13.33
01-12-1977,10.01
01-12-1978,9.77
01-12-1979,7.08
01-12-1980,10.07
01-12-1981,10.59
01-12-1982,16.36
01-12-1983,17.85
01-12-1984,17.88
01-12-1985,17.02
01-12-1986,13.82
01-12-1987,9.79
01-12-1988,10.39
01-12-1989,10.01
01-12-1990,13.95
01-12-1991,12.98
01-12-1992,9.87
01-12-1993,8.59
01-12-1994,5.83
01-12-1995,3.93
01-12-1996,6.71
01-12-1997,3.37
01-12-1998,2.03
01-12-1999,2.88
01-12-2000,-1.97
01-12-2001,4.97
01-12-2002,7.78
01-12-2003,9.25
01-12-2004,8.55
01-12-2005,7.56
01-12-2006,6.24
01-12-2007,6.32
01-12-2008,15.93
01-12-2009,15.06
01-12-2010,13.92
01-12-2011,8.54
01-12-2012,7.95
01-12-2013,4.4
01-12-2014,5.74
01-12-2015,4.3
01-12-2016,5.57
01-12-2017,2.58
01-12-2018,7.23
01-12-2019,5.59
01-12-2020,19.6
01-12-2021,6.74
01-12-2022,6.09
01-12-2023,8.22
