Macrotrends Data Download,,,
,,,
U.S. Debt to GDP Ratio 1989-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, Government Debt as % of GDP, Annual Change, 
31-12-1989,39.1284,,
31-12-1990,40.9339,1.81,
31-12-1991,44.0616,3.13,
31-12-1992,46.0501,1.99,
31-12-1993,48.2461,2.2,
31-12-1994,47.3535,-0.89,
31-12-1995,47.2095,-0.14,
31-12-1996,46.7418,-0.47,
31-12-1997,44.1175,-2.62,
31-12-1998,41.1291,-2.99,
31-12-1999,37.7273,-3.4,
31-12-2000,33.2677,-4.46,
31-12-2001,52.4437,19.18,
31-12-2002,53.8625,1.42,
31-12-2003,56.2504,2.39,
31-12-2004,56.6623,0.41,
31-12-2005,56.5388,-0.12,
31-12-2006,55.4673,-1.07,
31-12-2007,55.6599,0.19,
31-12-2008,63.8151,8.16,
31-12-2009,75.842,12.03,
31-12-2010,84.9644,9.12,
31-12-2011,89.5468,4.58,
31-12-2012,93.6493,4.1,
31-12-2013,95.5347,1.89,
31-12-2014,95.7667,0.23,
31-12-2015,96.4252,0.66,
31-12-2016,98.5041,2.08,
31-12-2017,97.6929,-0.81,
31-12-2018,99.061,1.37,
31-12-2019,100.805,1.74,
31-12-2020,126.2325,25.43,
31-12-2021,120.374,-5.86,
31-12-2022,121.31,0.936,
31-12-2023,123,1.69,
