Macrotrends Data Download,,,
,,,
U.S. GNI 1962-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, GNI (Billions of US $),Per Capita (US $), Annual % Growth rate
31-12-1962,612.17855,3280,
31-12-1963,646.2338868,3410,
31-12-1964,692.3282195,3610,
31-12-1965,753.2945304,3880,
31-12-1966,824.1835772,4190,
31-12-1967,868.295291,4370,
31-12-1968,952.033981,4740,
31-12-1969,1027.990251,5070,
31-12-1970,1072.901886,5230,
31-12-1971,1167.726435,5620,3.3509
31-12-1972,1317.546985,6280,5.2751
31-12-1973,1544.667545,7290,5.8725
31-12-1974,1707.501119,7980,-0.4294
31-12-1975,1837.615687,8510,-0.4289
31-12-1976,1954.015548,8960,5.5185
31-12-1977,2112.844663,9590,4.6954
31-12-1978,2395.599972,10760,5.4708
31-12-1979,2745.654918,12200,3.4634
31-12-1980,3041.381895,13380,-0.2835
31-12-1981,3295.801022,14360,2.3669
31-12-1982,3293.708061,14220,-1.7284
31-12-1983,3405.705063,14570,4.5126
31-12-1984,3821.673418,16210,7.1006
31-12-1985,4154.713915,17460,3.8497
31-12-1986,4588.118207,19110,3.2434
31-12-1987,5183.358426,21390,3.4475
31-12-1988,5744.106448,23490,4.2521
31-12-1989,5866.294469,23770,3.6794
31-12-1990,6006.223932,24060,2.029
31-12-1991,6140.655897,24270,-0.174
31-12-1992,6587.044224,25680,3.4846
31-12-1993,6858.427054,26390,2.7292
31-12-1994,7276.716882,27650,3.8849
31-12-1995,7731.970449,29040,2.7356
31-12-1996,8154.321495,30270,3.7894
31-12-1997,8526.997844,31270,4.333
31-12-1998,8835.768787,32030,4.3997
31-12-1999,9397.790951,33680,4.9283
31-12-2000,10146.58426,35960,4.1322
31-12-2001,10459.33459,36700,1.0569
31-12-2002,10730.15094,37310,1.6391
31-12-2003,11533.12878,39750,2.8889
31-12-2004,12740.19179,43510,3.972
31-12-2005,13646.58065,46180,3.4255
31-12-2006,14272.56393,47830,2.542
31-12-2007,14610.90561,48500,2.3376
31-12-2008,14930.55717,49100,0.4313
31-12-2009,14684.70142,47870,-2.5362
31-12-2010,15202.01453,49150,3.0365
31-12-2011,15773.81544,50620,1.7024
31-12-2012,16571.1559,52790,2.1896
31-12-2013,17064.37992,53990,1.7816
31-12-2014,17765.11697,55800,2.2632
31-12-2015,18158.86867,56620,2.5841
31-12-2016,18458.99896,57140,1.7014
31-12-2017,19254.38166,59220,2.5093
31-12-2018,20739.76732,63460,2.8546
31-12-2019,21713.39549,66130,2.1826
31-12-2020,21432.32327,64650,-3.1199
31-12-2021,23539.91844,70900,5.744
31-12-2022,25454.40022,76370,
31-12-2023,27130,,
