Macrotrends Data Download,,,
,,,
U.S. Imports 1970-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, Imports (Billions of US $), Imports (% of GDP), 
31-12-1970,55.76,5.1952,
31-12-1971,62.342,5.3519,
31-12-1972,74.216,5.8022,
31-12-1973,91.159,6.3954,
31-12-1974,127.465,8.2489,
31-12-1975,122.73,7.2841,
31-12-1976,151.146,8.068,
31-12-1977,182.443,8.7636,
31-12-1978,212.25,9.0258,
31-12-1979,252.674,9.6171,
31-12-1980,293.828,10.2834,
31-12-1981,317.758,9.9081,
31-12-1982,303.184,9.0671,
31-12-1983,328.638,9.0433,
31-12-1984,405.107,10.0333,
31-12-1985,417.229,9.6158,
31-12-1986,452.867,9.8887,
31-12-1987,508.713,10.4777,
31-12-1988,553.993,10.5796,
31-12-1989,591.031,10.4763,
31-12-1990,629.727,10.5603,
31-12-1991,623.544,10.1255,
31-12-1992,667.791,10.2417,
31-12-1993,719.973,10.4974,
31-12-1994,813.424,11.1623,
31-12-1995,902.572,11.8142,
31-12-1996,963.966,11.9404,
31-12-1997,1055.774,12.3086,
31-12-1998,1115.69,12.3106,
31-12-1999,1252.46,13.0042,
31-12-2000,1477.184,14.4102,
31-12-2001,1403.559,13.2637,
31-12-2002,1437.724,13.155,
31-12-2003,1557.12,13.5917,
31-12-2004,1810.504,14.8193,
31-12-2005,2041.482,15.6565,
31-12-2006,2256.623,16.3339,
31-12-2007,2395.228,16.5482,
31-12-2008,2576.151,17.4419,
31-12-2009,2001.927,13.8273,
31-12-2010,2389.555,15.8785,
31-12-2011,2695.48,17.279,
31-12-2012,2769.317,17.0378,
31-12-2013,2766.375,16.4243,
31-12-2014,2887.445,16.452,
31-12-2015,2794.85,15.3512,
31-12-2016,2738.359,14.6475,
31-12-2017,2924.994,15.0174,
31-12-2018,3131.166,15.2494,
31-12-2019,3117.235,14.5795,
31-12-2020,2776.115,13.1816,
31-12-2021,3401.361,14.5887,
