Macrotrends Data Download,,,
,,,
U.S. Trade to GDP Ratio 1970-2024,,,
,,,
,,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,,
,,,
,,,
date, Trade (% of GDP),, 
31-12-1970,10.7583,,
31-12-1971,10.7572,,
31-12-1972,11.3406,,
31-12-1973,13.0792,,
31-12-1974,16.445,,
31-12-1975,15.5164,,
31-12-1976,16.0488,,
31-12-1977,16.4179,,
31-12-1978,16.9728,,
31-12-1979,18.3762,,
31-12-1980,20.1098,,
31-12-1981,19.4259,,
31-12-1982,17.5368,,
31-12-1983,16.6656,,
31-12-1984,17.5224,,
31-12-1985,16.6039,,
31-12-1986,16.898,,
31-12-1987,17.9736,,
31-12-1988,19.0701,,
31-12-1989,19.4151,,
31-12-1990,19.8151,,
31-12-1991,19.7864,,
31-12-1992,19.9506,,
31-12-1993,20.0446,,
31-12-1994,21.0555,,
31-12-1995,22.4534,,
31-12-1996,22.6871,,
31-12-1997,23.4283,,
31-12-1998,22.8259,,
31-12-1999,23.3136,,
31-12-2000,25.103,,
31-12-2001,22.9672,,
31-12-2002,22.2864,,
31-12-2003,22.6273,,
31-12-2004,24.4481,,
31-12-2005,25.6386,,
31-12-2006,26.9753,,
31-12-2007,28.012,,
31-12-2008,29.8678,,
31-12-2009,24.7595,,
31-12-2010,28.2199,,
31-12-2011,30.8425,,
31-12-2012,30.6818,,
31-12-2013,30.0024,,
31-12-2014,29.998,,
31-12-2015,27.8122,,
31-12-2016,26.587,,
31-12-2017,27.2792,,
31-12-2018,27.6104,,
31-12-2019,26.4519,,
31-12-2020,23.3838,,
31-12-2021,25.4814,,
