Macrotrends Data Download,
,
Auto and Light Truck Sales Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Truck Sales
01-01-1976,12.512
01-02-1976,13.044
01-03-1976,13.085
01-04-1976,12.915
01-05-1976,12.645
01-06-1976,12.727
01-07-1976,13.122
01-08-1976,12.594
01-09-1976,13.209
01-10-1976,12.537
01-11-1976,13.006
01-12-1976,14.197
01-01-1977,14.019
01-02-1977,14.335
01-03-1977,14.782
01-04-1977,14.753
01-05-1977,14.605
01-06-1977,14.571
01-07-1977,14.306
01-08-1977,14.488
01-09-1977,14.274
01-10-1977,14.511
01-11-1977,14.396
01-12-1977,14.789
01-01-1978,13.334
01-02-1978,13.969
01-03-1978,14.714
01-04-1978,15.757
01-05-1978,15.83
01-06-1978,15.868
01-07-1978,15.086
01-08-1978,15.676
01-09-1978,14.195
01-10-1978,15.391
01-11-1978,15.015
01-12-1978,14.839
01-01-1979,14.626
01-02-1979,14.856
01-03-1979,14.839
01-04-1979,14.304
01-05-1979,13.966
01-06-1979,12.363
01-07-1979,13.712
01-08-1979,13.999
01-09-1979,13.953
01-10-1979,12.733
01-11-1979,12.667
01-12-1979,13.198
01-01-1980,14.115
01-02-1980,12.967
01-03-1980,11.797
01-04-1980,10.198
01-05-1980,9.31
01-06-1980,10.181
01-07-1980,11.381
01-08-1980,10.86
01-09-1980,10.622
01-10-1980,11.146
01-11-1980,11.014
01-12-1980,10.718
01-01-1981,11.036
01-02-1981,12.116
01-03-1981,12.185
01-04-1981,10.212
01-05-1981,10.136
01-06-1981,10.205
01-07-1981,10.206
01-08-1981,12.457
01-09-1981,10.863
01-10-1981,9.209
01-11-1981,9.294
01-12-1981,8.849
01-01-1982,10.075
01-02-1982,10.725
01-03-1982,10.457
01-04-1982,9.541
01-05-1982,10.9
01-06-1982,9.42
01-07-1982,9.585
01-08-1982,9.779
01-09-1982,10.958
01-10-1982,9.981
01-11-1982,11.866
01-12-1982,11.073
01-01-1983,10.688
01-02-1983,10.441
01-03-1983,10.832
01-04-1983,11.507
01-05-1983,11.865
01-06-1983,12.785
01-07-1983,12.733
01-08-1983,12.048
01-09-1983,12.258
01-10-1983,13.103
01-11-1983,12.899
01-12-1983,14.278
01-01-1984,13.998
01-02-1984,14.13
01-03-1984,13.967
01-04-1984,14.094
01-05-1984,14.569
01-06-1984,14.394
01-07-1984,14.455
01-08-1984,14.006
01-09-1984,13.662
01-10-1984,14.342
01-11-1984,14.444
01-12-1984,14.306
01-01-1985,15.265
01-02-1985,15.432
01-03-1985,15.049
01-04-1985,15.224
01-05-1985,15.27
01-06-1985,14.8
01-07-1985,15.222
01-08-1985,16.633
01-09-1985,18.809
01-10-1985,13.887
01-11-1985,14.333
01-12-1985,15.387
01-01-1986,15.781
01-02-1986,15.126
01-03-1986,13.9
01-04-1986,15.579
01-05-1986,16.038
01-06-1986,15.637
01-07-1986,15.471
01-08-1986,17.01
01-09-1986,21.221
01-10-1986,14.516
01-11-1986,14.545
01-12-1986,17.782
01-01-1987,12.155
01-02-1987,14.83
01-03-1987,15.017
01-04-1987,15.167
01-05-1987,14.283
01-06-1987,15.341
01-07-1987,15.372
01-08-1987,16.786
01-09-1987,15.82
01-10-1987,13.975
01-11-1987,14.227
01-12-1987,15.354
01-01-1988,15.77
01-02-1988,16.172
01-03-1988,15.848
01-04-1988,15.201
01-05-1988,15.606
01-06-1988,15.525
01-07-1988,15.375
01-08-1988,15.078
01-09-1988,14.71
01-10-1988,14.815
01-11-1988,15.038
01-12-1988,16.098
01-01-1989,15.017
01-02-1989,14.668
01-03-1989,14.362
01-04-1989,15.698
01-05-1989,14.942
01-06-1989,14.065
01-07-1989,14.389
01-08-1989,16.234
01-09-1989,15.361
01-10-1989,13.27
01-11-1989,13.068
01-12-1989,13.273
01-01-1990,16.01
01-02-1990,14.066
01-03-1990,14.203
01-04-1990,14.009
01-05-1990,13.743
01-06-1990,13.867
01-07-1990,13.789
01-08-1990,13.582
01-09-1990,14.025
01-10-1990,13.483
01-11-1990,12.877
