Macrotrends Data Download,
,
Capacity Utilization Rate - 50 Year Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Capacity utilization rate
01-01-1967,89.39
01-02-1967,87.975
01-03-1967,87.084
01-04-1967,87.509
01-05-1967,86.357
01-06-1967,85.96
01-07-1967,85.383
01-08-1967,86.634
01-09-1967,86.112
01-10-1967,86.433
01-11-1967,87.286
01-12-1967,87.842
01-01-1968,87.384
01-02-1968,87.349
01-03-1968,87.275
01-04-1968,87.057
01-05-1968,87.688
01-06-1968,87.666
01-07-1968,87.19
01-08-1968,87.094
01-09-1968,87.086
01-10-1968,86.922
01-11-1968,87.709
01-12-1968,87.649
01-01-1969,87.852
01-02-1969,88.096
01-03-1969,88.468
01-04-1969,87.827
01-05-1969,87.183
01-06-1969,87.722
01-07-1969,87.873
01-08-1969,87.764
01-09-1969,87.436
01-10-1969,87.155
01-11-1969,86.032
01-12-1969,85.502
01-01-1970,83.641
01-02-1970,83.325
01-03-1970,82.956
01-04-1970,82.485
01-05-1970,82.133
01-06-1970,81.613
01-07-1970,81.561
01-08-1970,81.165
01-09-1970,80.357
01-10-1970,78.509
01-11-1970,77.795
01-12-1970,79.339
01-01-1971,79.726
01-02-1971,79.371
01-03-1971,79.083
01-04-1971,79.325
01-05-1971,79.526
01-06-1971,79.657
01-07-1971,79.226
01-08-1971,78.568
01-09-1971,79.644
01-10-1971,80.039
01-11-1971,80.178
01-12-1971,80.902
01-01-1972,82.626
01-02-1972,83.285
01-03-1972,83.664
01-04-1972,84.278
01-05-1972,84.081
01-06-1972,84.089
01-07-1972,83.784
01-08-1972,84.713
01-09-1972,85.131
01-10-1972,85.983
01-11-1972,86.738
01-12-1972,87.448
01-01-1973,87.8
01-02-1973,88.785
01-03-1973,88.528
01-04-1973,88.102
01-05-1973,88.383
01-06-1973,88.179
01-07-1973,88.207
01-08-1973,87.783
01-09-1973,88.18
01-10-1973,88.6
01-11-1973,88.727
01-12-1973,88.202
01-01-1974,87.354
01-02-1974,86.844
01-03-1974,86.603
01-04-1974,86.124
01-05-1974,86.593
01-06-1974,86.224
01-07-1974,86.18
01-08-1974,85.085
01-09-1974,84.923
01-10-1974,84.491
01-11-1974,81.558
01-12-1974,78.501
01-01-1975,77.287
01-02-1975,75.399
01-03-1975,74.442
01-04-1975,74.461
01-05-1975,74.135
01-06-1975,74.495
01-07-1975,75.132
01-08-1975,75.745
01-09-1975,76.586
01-10-1975,76.779
01-11-1975,76.746
01-12-1975,77.646
01-01-1976,78.528
01-02-1976,79.162
01-03-1976,79.149
01-04-1976,79.384
01-05-1976,79.53
01-06-1976,79.452
01-07-1976,79.694
01-08-1976,80.071
01-09-1976,80.14
01-10-1976,79.939
01-11-1976,80.973
01-12-1976,81.638
01-01-1977,80.897
01-02-1977,81.989
01-03-1977,82.806
01-04-1977,83.396
01-05-1977,83.831
01-06-1977,84.237
01-07-1977,84.119
01-08-1977,83.975
01-09-1977,84.088
01-10-1977,83.974
01-11-1977,83.892
01-12-1977,83.777
01-01-1978,82.344
01-02-1978,82.553
01-03-1978,83.904
01-04-1978,85.323
01-05-1978,85.5
01-06-1978,85.806
01-07-1978,85.492
01-08-1978,85.613
01-09-1978,85.584
01-10-1978,86.013
01-11-1978,86.432
01-12-1978,86.642
01-01-1979,85.928
01-02-1979,86.129
01-03-1979,86.162
01-04-1979,84.93
01-05-1979,85.457
01-06-1979,85.245
01-07-1979,84.906
01-08-1979,84.16
01-09-1979,83.962
01-10-1979,84.362
01-11-1979,84.05
01-12-1979,83.942
01-01-1980,84.215
01-02-1980,84.088
01-03-1980,83.572
01-04-1980,81.769
01-05-1980,79.606
01-06-1980,78.439
01-07-1980,77.72
01-08-1980,77.811
01-09-1980,78.941
01-10-1980,79.77
01-11-1980,80.916
01-12-1980,81.28
01-01-1981,80.575
01-02-1981,80.047
01-03-1981,80.248
01-04-1981,79.695
01-05-1981,79.949
01-06-1981,80.166
01-07-1981,80.47
01-08-1981,80.169
01-09-1981,79.581
01-10-1981,78.774
01-11-1981,77.682
01-12-1981,76.682
01-01-1982,74.945
01-02-1982,76.316
01-03-1982,75.644
01-04-1982,74.814
01-05-1982,74.178
01-06-1982,73.88
01-07-1982,73.512
01-08-1982,72.771
01-09-1982,72.501
01-10-1982,71.746
01-11-1982,71.459
01-12-1982,70.905
01-01-1983,72.184
01-02-1983,71.726
01-03-1983,72.297
01-04-1983,73.179
01-05-1983,73.627
01-06-1983,74.048
01-07-1983,75.129
01-08-1983,76
01-09-1983,77.064
01-10-1983,77.614
01-11-1983,77.896
01-12-1983,78.202
01-01-1984,79.675
01-02-1984,79.936
01-03-1984,80.202
01-04-1984,80.547
01-05-1984,80.838
01-06-1984,80.965
01-07-1984,81.034
01-08-1984,80.959
01-09-1984,80.544
01-10-1984,80.331
01-11-1984,80.406
01-12-1984,80.252
01-01-1985,79.995
01-02-1985,80.035
01-03-1985,79.95
01-04-1985,79.582
01-05-1985,79.511
01-06-1985,79.274
01-07-1985,78.682
01-08-1985,78.766
01-09-1985,78.893
01-10-1985,78.469
01-11-1985,78.593
01-12-1985,79.258
01-01-1986,79.547
01-02-1986,78.899
01-03-1986,78.237
01-04-1986,78.243
01-05-1986,78.314
01-06-1986,77.936
01-07-1986,78.335
01-08-1986,78.126
01-09-1986,78.252
01-10-1986,78.491
01-11-1986,78.695
01-12-1986,79.345
01-01-1987,78.917
01-02-1987,79.84
01-03-1987,79.799
01-04-1987,80.161
01-05-1987,80.509
01-06-1987,80.783
01-07-1987,81.172
01-08-1987,81.632
01-09-1987,81.8
01-10-1987,82.773
01-11-1987,83.078
01-12-1987,83.445
01-01-1988,83.342
01-02-1988,83.696
01-03-1988,83.823
01-04-1988,84.267
01-05-1988,84.078
01-06-1988,84.273
01-07-1988,84.257
01-08-1988,84.649
01-09-1988,84.332
01-10-1988,84.643
01-11-1988,84.784
01-12-1988,85.064
01-01-1989,85.226
01-02-1989,84.731
01-03-1989,84.814
01-04-1989,84.637
01-05-1989,84.007
01-06-1989,83.821
01-07-1989,82.829
01-08-1989,83.455
01-09-1989,82.974
01-10-1989,82.683
01-11-1989,82.757
01-12-1989,83.032
01-01-1990,82.393
01-02-1990,82.955
01-03-1990,83.171
01-04-1990,82.817
01-05-1990,82.887
01-06-1990,82.997
01-07-1990,82.719
01-08-1990,82.887
01-09-1990,82.773
01-10-1990,82.151
01-11-1990,81.026
01-12-1990,80.364
01-01-1991,80.002
01-02-1991,79.34
01-03-1991,78.819
01-04-1991,78.955
01-05-1991,79.671
01-06-1991,80.229
01-07-1991,80.363
01-08-1991,80.291
01-09-1991,80.867
01-10-1991,80.683
01-11-1991,80.467
01-12-1991,79.994
01-01-1992,79.43
01-02-1992,79.836
01-03-1992,80.339
01-04-1992,80.782
01-05-1992,80.869
01-06-1992,80.735
01-07-1992,81.279
01-08-1992,80.654
01-09-1992,80.738
01-10-1992,81.126
01-11-1992,81.297
01-12-1992,81.28
01-01-1993,81.463
01-02-1993,81.716
01-03-1993,81.511
01-04-1993,81.624
01-05-1993,81.181
01-06-1993,81.256
01-07-1993,81.332
01-08-1993,81.13
01-09-1993,81.411
01-10-1993,81.869
01-11-1993,82.1
01-12-1993,82.392
01-01-1994,82.472
01-02-1994,82.336
01-03-1994,82.947
01-04-1994,83.213
01-05-1994,83.366
01-06-1994,83.661
01-07-1994,83.507
01-08-1994,83.792
01-09-1994,83.782
01-10-1994,84.18
01-11-1994,84.466
01-12-1994,84.999
01-01-1995,84.887
01-02-1995,84.481
01-03-1995,84.317
01-04-1995,83.884
01-05-1995,83.971
01-06-1995,83.938
01-07-1995,83.267
01-08-1995,84.034
01-09-1995,84.034
01-10-1995,83.558
01-11-1995,83.404
01-12-1995,83.33
01-01-1996,82.51
01-02-1996,83.315
01-03-1996,82.808
01-04-1996,83.254
01-05-1996,83.487
01-06-1996,83.719
01-07-1996,83.333
01-08-1996,83.366
01-09-1996,83.515
01-10-1996,83.112
01-11-1996,83.446
01-12-1996,83.569
01-01-1997,83.32
01-02-1997,83.89
01-03-1997,83.99
01-04-1997,83.633
01-05-1997,83.657
01-06-1997,83.59
01-07-1997,83.816
01-08-1997,84.158
01-09-1997,84.427
01-10-1997,84.634
01-11-1997,84.763
01-12-1997,84.594
01-01-1998,84.419
01-02-1998,84.008
01-03-1998,83.496
01-04-1998,83.263
01-05-1998,83.264
01-06-1998,82.267
01-07-1998,81.478
01-08-1998,82.713
01-09-1998,82.219
01-10-1998,82.383
01-11-1998,81.922
01-12-1998,81.896
01-01-1999,81.875
01-02-1999,81.992
01-03-1999,81.826
01-04-1999,81.689
01-05-1999,81.872
01-06-1999,81.519
01-07-1999,81.693
01-08-1999,81.761
01-09-1999,81.125
01-10-1999,81.886
01-11-1999,82.025
01-12-1999,82.384
01-01-2000,82.053
01-02-2000,82.073
01-03-2000,82.105
01-04-2000,82.339
01-05-2000,82.306
01-06-2000,82.08
01-07-2000,81.655
01-08-2000,81.17
01-09-2000,81.223
01-10-2000,80.682
01-11-2000,80.423
01-12-2000,79.899
01-01-2001,79.21
01-02-2001,78.428
01-03-2001,77.988
01-04-2001,77.501
01-05-2001,76.852
01-06-2001,76.209
01-07-2001,75.563
01-08-2001,75.289
01-09-2001,74.72
01-10-2001,74.331
01-11-2001,73.754
01-12-2001,73.595
01-01-2002,73.986
01-02-2002,73.874
01-03-2002,74.346
01-04-2002,74.631
01-05-2002,74.897
01-06-2002,75.469
01-07-2002,75.426
01-08-2002,75.318
01-09-2002,75.399
01-10-2002,75.212
01-11-2002,75.643
01-12-2002,75.262
01-01-2003,75.915
01-02-2003,76.026
01-03-2003,75.83
01-04-2003,75.38
01-05-2003,75.393
01-06-2003,75.521
01-07-2003,75.935
01-08-2003,75.771
01-09-2003,76.285
01-10-2003,76.394
01-11-2003,76.922
01-12-2003,76.998
01-01-2004,77.139
01-02-2004,77.621
01-03-2004,77.328
01-04-2004,77.657
01-05-2004,78.228
01-06-2004,77.642
01-07-2004,78.216
01-08-2004,78.287
01-09-2004,78.362
01-10-2004,79.033
01-11-2004,79.192
01-12-2004,79.763
01-01-2005,79.998
01-02-2005,80.514
01-03-2005,80.319
01-04-2005,80.39
01-05-2005,80.387
01-06-2005,80.613
01-07-2005,80.263
01-08-2005,80.42
01-09-2005,78.758
01-10-2005,79.598
01-11-2005,80.364
01-12-2005,80.628
01-01-2006,80.665
01-02-2006,80.58
01-03-2006,80.655
01-04-2006,80.782
01-05-2006,80.662
