Macrotrends Data Download,,
,,
Durable Goods Orders - Historical Chart,,
,,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
,,
,,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,,
,,
,,
date,Durable goods order,N
01-02-1992,254840.38,114535
01-03-1992,265735.35,120025
01-04-1992,275203.17,124470
01-05-1992,277814.98,125822
01-06-1992,270234.8,122834
01-07-1992,269085.05,122590
01-08-1992,263579.68,120411
01-09-1992,263512.11,120711
01-10-1992,277077.6,127392
01-11-1992,265796.33,122374
01-12-1992,273971.84,126080
01-01-1993,263100.83,121637
01-02-1993,277680.37,128854
01-03-1993,272284.78,126762
01-04-1993,272880.09,127395
01-05-1993,270645.53,126529
01-06-1993,278132.83,130212
01-07-1993,273645.1,128111
01-08-1993,275575.14,129378
01-09-1993,270497.36,127233
01-10-1993,281916.66,133168
01-11-1993,275776.97,130391
01-12-1993,282489.98,133565
01-01-1994,292230.78,138498
01-02-1994,288270.38,137141
01-03-1994,286068.06,136548
01-04-1994,293582.91,140336
01-05-1994,298239.33,142630
01-06-1994,302311.29,145063
01-07-1994,301337.01,145013
01-08-1994,301979.88,145884
01-09-1994,300285.17,145487
01-10-1994,308515.46,149547
01-11-1994,309078.28,150038
01-12-1994,314127.34,152489
01-01-1995,308741.87,150459
01-02-1995,314481.66,153856
01-03-1995,311432.86,152888
01-04-1995,307344.03,151401
01-05-1995,309649.79,152838
01-06-1995,303403.12,150051
01-07-1995,301106.13,148915
01-08-1995,311368.32,154372
01-09-1995,322432.28,160175
01-10-1995,312034.31,155473
01-11-1995,313541.17,156146
01-12-1995,328027.51,163279
01-01-1996,311300.39,155806
01-02-1996,300189.04,150773
01-03-1996,326817.46,164976
01-04-1996,309425.59,156830
01-05-1996,323904.44,164502
01-06-1996,323930.83,164599
01-07-1996,321286.83,163588
01-08-1996,308484.91,157310
01-09-1996,323273.67,165442
01-10-1996,321938.17,165266
01-11-1996,332172.94,170783
01-12-1996,315735.74,162332
01-01-1997,313782.55,161827
01-02-1997,328866.97,170221
01-03-1997,323071.1,167568
01-04-1997,335053.95,174054
01-05-1997,324696.64,168586
01-06-1997,336369.07,174828
01-07-1997,343768.92,178860
01-08-1997,340065.24,177302
01-09-1997,340198.36,177835
01-10-1997,339422.11,177801
01-11-1997,365167.17,191187
01-12-1997,332248.24,173770
01-01-1998,332715.79,174288
01-02-1998,345319.35,181270
01-03-1998,336260.29,176886
01-04-1998,343376.67,180915
01-05-1998,342120.8,180634
01-06-1998,325781.59,172189
01-07-1998,322167.51,170459
01-08-1998,337835.27,179033
01-09-1998,341980.47,181422
01-10-1998,335809.29,178527
01-11-1998,343094.4,182400
01-12-1998,335793.97,178424
01-01-1999,350111.18,186527
01-02-1999,347898.75,185546
01-03-1999,345183.74,184689
01-04-1999,339635.01,182993
01-05-1999,345147.33,185963
01-06-1999,338887.04,182590
01-07-1999,349803.55,189083
01-08-1999,349658.24,189414
01-09-1999,347027.67,188910
01-10-1999,356799.2,194547
01-11-1999,342032.3,186597
01-12-1999,359898.55,196344
01-01-2000,367884.72,201360
01-02-2000,333982.38,183911
01-03-2000,346218.26,192130
01-04-2000,351079.2,195044
01-05-2000,339113.59,188606
01-06-2000,393123.81,219745
01-07-2000,337838.03,189265
01-08-2000,336883.05,188730
01-09-2000,355105.87,199947
01-10-2000,330058.13,186158
01-11-2000,335413.23,189392
01-12-2000,334492.41,188659
01-01-2001,311795.62,177056
01-02-2001,316204.1,180276
01-03-2001,318865.75,182209
01-04-2001,299534.55,171850
01-05-2001,308572.26,177749
01-06-2001,305614.55,176350
01-07-2001,295684.2,170129
01-08-2001,296301.19,170484
01-09-2001,283932.79,164123
01-10-2001,297776.08,171530
01-11-2001,284867.33,163811
01-12-2001,288455.48,165304
01-01-2002,284347.08,163324
01-02-2002,299124.41,172406
01-03-2002,289546.43,167853
01-04-2002,294726.18,171852
01-05-2002,294729.61,171854
01-06-2002,284643.98,166070
01-07-2002,298370.78,174282
01-08-2002,302354.08,177126
01-09-2002,284291.95,166838
01-10-2002,287696.93,169134
01-11-2002,289209.12,170023
01-12-2002,279555.21,163962
01-01-2003,288479.82,169994
01-02-2003,293206.29,174113
01-03-2003,288338.13,172245
01-04-2003,284164.27,169347
01-05-2003,288362.1,171542
01-06-2003,291318.25,173507
01-07-2003,290657.64,173320
01-08-2003,289156.52,173044
01-09-2003,297518.85,178690
01-10-2003,306234.57,183704
01-11-2003,303777.32,181685
01-12-2003,303671.25,181513
01-01-2004,297528.84,178696
01-02-2004,300832.27,181662
01-03-2004,314170.37,190869
01-04-2004,302547.89,184368
01-05-2004,299221.63,183459
01-06-2004,301850.64,185640
01-07-2004,304167.38,186835
01-08-2004,299109.18,183728
01-09-2004,306033.06,188444
01-10-2004,299262.19,185187
01-11-2004,310960.18,192545
01-12-2004,313789.94,193578
01-01-2005,315112.88,194875
01-02-2005,315931.8,196475
01-03-2005,297826.37,186608
01-04-2005,308832.5,194847
01-05-2005,327910.7,206623
01-06-2005,333091.72,210020
01-07-2005,306881.55,194475
01-08-2005,321597.23,204839
01-09-2005,316399.35,203997
01-10-2005,324926.75,209901
01-11-2005,344564.21,220733
01-12-2005,347088.93,221499
01-01-2006,325834.7,209540
01-02-2006,341033.38,219738
01-03-2006,350778.27,227188
01-04-2006,328590.88,214625
01-05-2006,328692.34,215819
01-06-2006,336254.4,221220
01-07-2006,317592.9,209494
01-08-2006,318445.65,210473
01-09-2006,356745.52,234701
01-10-2006,331502.66,216952
01-11-2006,344182.58,224809
01-12-2006,350283.3,229243
01-01-2007,339804.76,222969
01-02-2007,334978.39,220962
01-03-2007,344748.05,229526
01-04-2007,348262.64,233420
01-05-2007,339363.79,228836
01-06-2007,338724.64,228868
01-07-2007,345333.66,233176
01-08-2007,349629.11,235758
01-09-2007,334953.57,226473
01-10-2007,340513.2,230700
01-11-2007,333016.34,227005
01-12-2007,358842.32,244443
01-01-2008,349747.33,239389
01-02-2008,342448.91,235037
01-03-2008,339149.39,234868
01-04-2008,331839.5,231086
01-05-2008,323774.88,227370
01-06-2008,323030.16,229262
01-07-2008,309016.22,220411
01-08-2008,301461.25,214106
01-09-2008,303495.45,215245
01-10-2008,273282.69,191912
01-11-2008,263613.5,181552
01-12-2008,255036.48,173849
01-01-2009,220735.19,151085
01-02-2009,216255.8,148834
01-03-2009,212168.35,146323
01-04-2009,213237.28,147467
01-05-2009,215225.71,149255
01-06-2009,210257.19,147033
01-07-2009,220085.51,153691
01-08-2009,225051.78,157489
01-09-2009,225682.55,158041
01-10-2009,229885.42,161097
01-11-2009,228757.49,160419
01-12-2009,229222.56,160520
01-01-2010,257585.77,181016
01-02-2010,256780.35,180450
01-03-2010,258103.72,182148
01-04-2010,258871.42,182948
01-05-2010,268563.85,189932
01-06-2010,262718.81,185667
01-07-2010,265320.99,187506
01-08-2010,270935.69,191745
01-09-2010,285127.98,201932
01-10-2010,272223.06,193066
01-11-2010,278054.82,197202
01-12-2010,272186.96,193452
01-01-2011,285090.4,203636
01-02-2011,273771.84,196393
01-03-2011,293592.24,212748
01-04-2011,275204.94,200733
01-05-2011,282787.05,207170
01-06-2011,275356.91,201579
01-07-2011,281815.17,206458
01-08-2011,294935.51,216705
01-09-2011,278238.94,204738
01-10-2011,287108.24,210799
01-11-2011,293768.75,215531
01-12-2011,305982.45,223835
01-01-2012,306472.7,225182
01-02-2012,308393.94,227597
01-03-2012,295626.24,219960
01-04-2012,292674.76,218414
01-05-2012,293999.99,219076
01-06-2012,294006.72,218755
01-07-2012,303150.16,225223
01-08-2012,268366.4,200423
01-09-2012,289582.25,217241
01-10-2012,291949.66,219017
01-11-2012,287683.26,214689
01-12-2012,310222.26,230992
01-01-2013,298325.18,222797
01-02-2013,313344.26,235952
01-03-2013,285124.1,215188
01-04-2013,300393.37,226541
01-05-2013,311481.59,235258
01-06-2013,327621.21,248010
01-07-2013,295389.6,223780
01-08-2013,296788.19,225010
01-09-2013,314278.34,238632
01-10-2013,306421.8,231962
01-11-2013,319357.65,241389
01-12-2013,315372.77,238377
01-01-2014,294103.79,223144
01-02-2014,305782.25,232711
01-03-2014,304264.67,233153
01-04-2014,308820.97,237372
01-05-2014,301914.86,232959
01-06-2014,310794.21,240181
01-07-2014,392594.79,303162
01-08-2014,306955.8,236666
01-09-2014,307844.06,237534
01-10-2014,301483.61,232089
01-11-2014,295358.43,226155
01-12-2014,296521.36,225835
01-01-2015,295760.52,224061
01-02-2015,287721.32,218966
01-03-2015,297210.34,227573
01-04-2015,292538.06,224339
01-05-2015,281879.6,217332
01-06-2015,300733.67,232766
01-07-2015,297404.19,230189
01-08-2015,288105.22,222647
01-09-2015,283484.45,218738
01-10-2015,293163.5,226032
01-11-2015,289966.68,223223
01-12-2015,283586.1,217474
01-01-2016,295430.31,226905
01-02-2016,282799.67,217371
01-03-2016,280884.21,216899
01-04-2016,294646.07,228585
01-05-2016,285036.44,221991
01-06-2016,267975.68,209356
01-07-2016,279472.15,217997
01-08-2016,280718.34,219140
01-09-2016,275906.07,216058
01-10-2016,298860.89,234217
01-11-2016,276946.43,216703
01-12-2016,278960.65,218450
01-01-2017,276873.97,218011
01-02-2017,280817.79,221815
01-03-2017,280785.73,221965
01-04-2017,279973.53,222025
01-05-2017,280221.48,222398
01-06-2017,300078.87,238347
01-07-2017,275912.28,218978
01-08-2017,280844.11,223602
01-09-2017,285247.5,228198
01-10-2017,287196.25,229757
01-11-2017,287057.5,229646
01-12-2017,300118.65,239903
01-01-2018,281027.06,225906
01-02-2018,290099.46,234140
01-03-2018,299925.29,242658
01-04-2018,294814.65,239492
01-05-2018,294985.41,240608
01-06-2018,297767.38,243274
01-07-2018,287132.04,234585
01-08-2018,298544.08,244108
01-09-2018,299187.15,244834
01-10-2018,292462.06,239723
01-11-2018,283543.27,231653
01-12-2018,292814.14,238448
01-01-2019,280559.3,229028
01-02-2019,272615.1,223455
01-03-2019,282682.37,233044
01-04-2019,270282.3,223929
01-05-2019,261844.72,217479
01-06-2019,264341.81,219553
01-07-2019,270737.28,225239
01-08-2019,269904.29,224546
01-09-2019,266560.75,221949
01-10-2019,267124.05,222975
01-11-2019,255122.02,212779
01-12-2019,258388.8,215324
01-01-2020,269759,225551
01-02-2020,275933.7,231488
01-03-2020,239142.21,200119
01-04-2020,191433.39,159130
01-05-2020,215798.95,179384
01-06-2020,237733.7,198774
01-07-2020,259468.79,218041
01-08-2020,262429.08,221086
01-09-2020,267327.71,225593
01-10-2020,273507.55,231003
01-11-2020,273370.02,230692
01-12-2020,277836.26,234659
01-01-2021,288778.37,244935
01-02-2021,286983.83,244658
01-03-2021,286896.9,246475
01-04-2021,283498.22,245453
01-05-2021,286549.28,250043
01-06-2021,287805.36,253573
01-07-2021,285839.15,252955
01-08-2021,291595.47,258736
01-09-2021,286349.12,254759
01-10-2021,287464.84,257816
01-11-2021,290432.61,261651
01-12-2021,296131.5,267750
01-01-2022,299646.65,273151
01-02-2022,292610.62,269191
01-03-2022,288459.96,268835
01-04-2022,289734.25,271541
01-05-2022,288403.24,273368
01-06-2022,289083.62,277698
01-07-2022,286748.66,275455
01-08-2022,286340.58,275063
01-09-2022,286615.42,275857
01-10-2022,288259.92,278512
