Macrotrends Data Download,
,
Housing Starts Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Housing starts
01-01-1959,1657
01-02-1959,1667
01-03-1959,1620
01-04-1959,1590
01-05-1959,1498
01-06-1959,1503
01-07-1959,1547
01-08-1959,1430
01-09-1959,1540
01-10-1959,1355
01-11-1959,1416
01-12-1959,1601
01-01-1960,1460
01-02-1960,1503
01-03-1960,1109
01-04-1960,1289
01-05-1960,1271
01-06-1960,1247
01-07-1960,1197
01-08-1960,1344
01-09-1960,1097
01-10-1960,1246
01-11-1960,1246
01-12-1960,1063
01-01-1961,1183
01-02-1961,1226
01-03-1961,1312
01-04-1961,1166
01-05-1961,1228
01-06-1961,1382
01-07-1961,1335
01-08-1961,1312
01-09-1961,1429
01-10-1961,1415
01-11-1961,1385
01-12-1961,1365
01-01-1962,1361
01-02-1962,1278
01-03-1962,1443
01-04-1962,1524
01-05-1962,1483
01-06-1962,1404
01-07-1962,1450
01-08-1962,1517
01-09-1962,1324
01-10-1962,1533
01-11-1962,1622
01-12-1962,1564
01-01-1963,1244
01-02-1963,1456
01-03-1963,1534
01-04-1963,1689
01-05-1963,1641
01-06-1963,1588
01-07-1963,1614
01-08-1963,1639
01-09-1963,1763
01-10-1963,1779
01-11-1963,1622
01-12-1963,1491
01-01-1964,1603
01-02-1964,1820
01-03-1964,1517
01-04-1964,1448
01-05-1964,1467
01-06-1964,1550
01-07-1964,1562
01-08-1964,1569
01-09-1964,1455
01-10-1964,1524
01-11-1964,1486
01-12-1964,1484
01-01-1965,1361
01-02-1965,1433
01-03-1965,1423
01-04-1965,1438
01-05-1965,1478
01-06-1965,1488
01-07-1965,1529
01-08-1965,1432
01-09-1965,1482
01-10-1965,1452
01-11-1965,1460
01-12-1965,1656
01-01-1966,1370
01-02-1966,1378
01-03-1966,1394
01-04-1966,1352
01-05-1966,1265
01-06-1966,1194
01-07-1966,1086
01-08-1966,1119
01-09-1966,1046
01-10-1966,843
01-11-1966,961
01-12-1966,990
01-01-1967,1067
01-02-1967,1123
01-03-1967,1056
01-04-1967,1091
01-05-1967,1304
01-06-1967,1248
01-07-1967,1364
01-08-1967,1407
01-09-1967,1421
01-10-1967,1491
01-11-1967,1538
01-12-1967,1308
01-01-1968,1380
01-02-1968,1520
01-03-1968,1466
01-04-1968,1554
01-05-1968,1408
01-06-1968,1405
01-07-1968,1512
01-08-1968,1495
01-09-1968,1556
01-10-1968,1569
01-11-1968,1630
01-12-1968,1548
01-01-1969,1769
01-02-1969,1705
01-03-1969,1561
01-04-1969,1524
01-05-1969,1583
01-06-1969,1528
01-07-1969,1368
01-08-1969,1358
01-09-1969,1507
01-10-1969,1381
01-11-1969,1229
01-12-1969,1327
01-01-1970,1085
01-02-1970,1305
01-03-1970,1319
01-04-1970,1264
01-05-1970,1290
01-06-1970,1385
01-07-1970,1517
01-08-1970,1399
01-09-1970,1534
01-10-1970,1580
01-11-1970,1647
01-12-1970,1893
01-01-1971,1828
01-02-1971,1741
01-03-1971,1910
01-04-1971,1986
01-05-1971,2049
01-06-1971,2026
01-07-1971,2083
01-08-1971,2158
01-09-1971,2041
01-10-1971,2128
01-11-1971,2182
01-12-1971,2295
01-01-1972,2494
01-02-1972,2390
01-03-1972,2334
01-04-1972,2249
01-05-1972,2221
01-06-1972,2254
01-07-1972,2252
01-08-1972,2382
01-09-1972,2481
01-10-1972,2485
01-11-1972,2421
01-12-1972,2366
01-01-1973,2481
01-02-1973,2289
01-03-1973,2365
01-04-1973,2084
01-05-1973,2266
01-06-1973,2067
01-07-1973,2123
01-08-1973,2051
01-09-1973,1874
01-10-1973,1677
01-11-1973,1724
01-12-1973,1526
01-01-1974,1451
01-02-1974,1752
01-03-1974,1555
01-04-1974,1607
01-05-1974,1426
01-06-1974,1513
01-07-1974,1316
01-08-1974,1142
01-09-1974,1150
01-10-1974,1070
01-11-1974,1026
01-12-1974,975
01-01-1975,1032
01-02-1975,904
01-03-1975,993
01-04-1975,1005
01-05-1975,1121
01-06-1975,1087
01-07-1975,1226
01-08-1975,1260
01-09-1975,1264
01-10-1975,1344
01-11-1975,1360
01-12-1975,1321
01-01-1976,1367
01-02-1976,1538
01-03-1976,1421
01-04-1976,1395
01-05-1976,1459
01-06-1976,1495
01-07-1976,1401
01-08-1976,1550
01-09-1976,1720
01-10-1976,1629
01-11-1976,1641
01-12-1976,1804
01-01-1977,1527
01-02-1977,1943
01-03-1977,2063
01-04-1977,1892
01-05-1977,1971
01-06-1977,1893
01-07-1977,2058
01-08-1977,2020
01-09-1977,1949
01-10-1977,2042
01-11-1977,2042
01-12-1977,2142
01-01-1978,1718
01-02-1978,1738
01-03-1978,2032
01-04-1978,2197
01-05-1978,2075
01-06-1978,2070
01-07-1978,2092
01-08-1978,1996
01-09-1978,1970
01-10-1978,1981
01-11-1978,2094
01-12-1978,2044
01-01-1979,1630
01-02-1979,1520
01-03-1979,1847
01-04-1979,1748
01-05-1979,1876
01-06-1979,1913
01-07-1979,1760
01-08-1979,1778
01-09-1979,1832
01-10-1979,1681
01-11-1979,1524
01-12-1979,1498
01-01-1980,1341
01-02-1980,1350
01-03-1980,1047
01-04-1980,1051
01-05-1980,927
01-06-1980,1196
01-07-1980,1269
01-08-1980,1436
01-09-1980,1471
01-10-1980,1523
01-11-1980,1510
01-12-1980,1482
01-01-1981,1547
01-02-1981,1246
01-03-1981,1306
01-04-1981,1360
01-05-1981,1140
01-06-1981,1045
01-07-1981,1041
01-08-1981,940
01-09-1981,911
01-10-1981,873
01-11-1981,837
01-12-1981,910
01-01-1982,843
01-02-1982,866
01-03-1982,931
01-04-1982,917
01-05-1982,1025
01-06-1982,902
01-07-1982,1166
01-08-1982,1046
01-09-1982,1144
01-10-1982,1173
01-11-1982,1372
01-12-1982,1303
01-01-1983,1586
01-02-1983,1699
01-03-1983,1606
01-04-1983,1472
01-05-1983,1776
01-06-1983,1733
01-07-1983,1785
01-08-1983,1910
01-09-1983,1710
01-10-1983,1715
01-11-1983,1785
01-12-1983,1688
01-01-1984,1897
01-02-1984,2260
01-03-1984,1663
01-04-1984,1851
01-05-1984,1774
01-06-1984,1843
01-07-1984,1732
01-08-1984,1586
01-09-1984,1698
01-10-1984,1590
01-11-1984,1689
01-12-1984,1612
01-01-1985,1711
01-02-1985,1632
01-03-1985,1800
01-04-1985,1821
01-05-1985,1680
01-06-1985,1676
01-07-1985,1684
01-08-1985,1743
01-09-1985,1676
01-10-1985,1834
01-11-1985,1698
01-12-1985,1942
01-01-1986,1972
01-02-1986,1848
01-03-1986,1876
01-04-1986,1933
01-05-1986,1854
01-06-1986,1847
01-07-1986,1782
01-08-1986,1807
01-09-1986,1687
01-10-1986,1681
01-11-1986,1623
01-12-1986,1833
01-01-1987,1774
01-02-1987,1784
01-03-1987,1726
01-04-1987,1614
01-05-1987,1628
01-06-1987,1594
01-07-1987,1575
01-08-1987,1605
01-09-1987,1695
01-10-1987,1515
01-11-1987,1656
01-12-1987,1400
01-01-1988,1271
01-02-1988,1473
01-03-1988,1532
01-04-1988,1573
01-05-1988,1421
01-06-1988,1478
01-07-1988,1467
01-08-1988,1493
