Macrotrends Data Download,
,
Industrial Production - 100 Year Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Industrial Production Index
01-01-1919,5.059
01-02-1919,4.835
01-03-1919,4.695
01-04-1919,4.779
01-05-1919,4.807
01-06-1919,5.114
01-07-1919,5.422
01-08-1919,5.506
01-09-1919,5.394
01-10-1919,5.338
01-11-1919,5.254
01-12-1919,5.338
01-01-1920,5.841
01-02-1920,5.841
01-03-1920,5.729
01-04-1920,5.422
01-05-1920,5.562
01-06-1920,5.617
01-07-1920,5.478
01-08-1920,5.506
01-09-1920,5.31
01-10-1920,5.086
01-11-1920,4.667
01-12-1920,4.388
01-01-1921,4.136
01-02-1921,4.052
01-03-1921,3.941
01-04-1921,3.941
01-05-1921,4.052
01-06-1921,4.024
01-07-1921,3.997
01-08-1921,4.136
01-09-1921,4.164
01-10-1921,4.416
01-11-1921,4.36
01-12-1921,4.332
01-01-1922,4.5
01-02-1922,4.695
01-03-1922,4.947
01-04-1922,4.779
01-05-1922,5.031
01-06-1922,5.282
01-07-1922,5.282
01-08-1922,5.17
01-09-1922,5.45
01-10-1922,5.757
01-11-1922,6.009
01-12-1922,6.176
01-01-1923,6.037
01-02-1923,6.121
01-03-1923,6.316
01-04-1923,6.456
01-05-1923,6.54
01-06-1923,6.484
01-07-1923,6.428
01-08-1923,6.316
01-09-1923,6.176
01-10-1923,6.148
01-11-1923,6.148
01-12-1923,6.009
01-01-1924,6.148
01-02-1924,6.26
01-03-1924,6.148
01-04-1924,5.953
01-05-1924,5.701
01-06-1924,5.45
01-07-1924,5.366
01-08-1924,5.562
01-09-1924,5.757
01-10-1924,5.897
01-11-1924,6.009
01-12-1924,6.176
01-01-1925,6.372
01-02-1925,6.372
01-03-1925,6.372
01-04-1925,6.428
01-05-1925,6.4
01-06-1925,6.344
01-07-1925,6.512
01-08-1925,6.4
01-09-1925,6.316
01-10-1925,6.568
01-11-1925,6.707
01-12-1925,6.791
01-01-1926,6.679
01-02-1926,6.679
01-03-1926,6.763
01-04-1926,6.763
01-05-1926,6.707
01-06-1926,6.791
01-07-1926,6.819
01-08-1926,6.903
01-09-1926,7.015
01-10-1926,7.015
01-11-1926,6.987
01-12-1926,6.959
01-01-1927,6.931
01-02-1927,6.987
01-03-1927,7.071
01-04-1927,6.903
01-05-1927,6.959
01-06-1927,6.931
01-07-1927,6.847
01-08-1927,6.847
01-09-1927,6.735
01-10-1927,6.596
01-11-1927,6.596
01-12-1927,6.624
01-01-1928,6.763
01-02-1928,6.819
01-03-1928,6.875
01-04-1928,6.847
01-05-1928,6.931
01-06-1928,6.987
01-07-1928,7.071
01-08-1928,7.21
01-09-1928,7.266
01-10-1928,7.406
