Macrotrends Data Download,
,
Real Retail Sales Historical Chart,
,
DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,
,
,
,
ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".,
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.,
,
,
date,Retail sales
01-01-1992,118651
01-02-1992,118480
01-03-1992,117700
01-04-1992,118156
01-05-1992,118548
01-06-1992,118542
01-07-1992,119044
01-08-1992,119176
01-09-1992,120057
01-10-1992,120413
01-11-1992,120340
01-12-1992,121648
01-01-1993,122625
01-02-1993,121414
01-03-1993,120241
01-04-1993,122913
01-05-1993,123735
01-06-1993,123463
01-07-1993,125082
01-08-1993,124798
01-09-1993,125361
01-10-1993,125607
01-11-1993,126539
01-12-1993,127409
01-01-1994,126550
01-02-1994,128203
01-03-1994,130237
01-04-1994,130190
01-05-1994,129443
01-06-1994,130581
01-07-1994,130555
01-08-1994,131653
01-09-1994,132461
01-10-1994,133582
01-11-1994,133332
01-12-1994,133712
01-01-1995,133936
01-02-1995,131477
01-03-1995,132438
01-04-1995,132432
01-05-1995,133456
01-06-1995,134843
01-07-1995,134286
01-08-1995,135069
01-09-1995,135210
01-10-1995,134317
01-11-1995,135761
01-12-1995,136712
01-01-1996,134906
01-02-1996,136779
01-03-1996,137550
01-04-1996,137525
01-05-1996,138299
01-06-1996,137886
01-07-1996,137791
01-08-1996,137632
01-09-1996,139034
01-10-1996,139735
01-11-1996,139233
01-12-1996,139529
01-01-1997,140201
01-02-1997,141153
01-03-1997,141528
01-04-1997,140472
01-05-1997,139418
01-06-1997,141109
01-07-1997,142583
01-08-1997,142605
01-09-1997,142873
01-10-1997,142313
01-11-1997,142511
01-12-1997,142881
01-01-1998,142955
01-02-1998,143015
01-03-1998,143878
01-04-1998,145491
01-05-1998,145803
01-06-1998,146788
01-07-1998,145472
01-08-1998,144663
01-09-1998,145902
01-10-1998,147986
01-11-1998,148867
01-12-1998,149957
01-01-1999,149889
01-02-1999,151500
01-03-1999,152104
01-04-1999,152186
01-05-1999,153455
01-06-1999,153885
01-07-1999,154443
01-08-1999,155733
01-09-1999,155731
01-10-1999,155751
01-11-1999,157343
01-12-1999,159871
01-01-2000,158325
01-02-2000,160012
01-03-2000,160931
01-04-2000,158599
01-05-2000,158525
01-06-2000,158782
01-07-2000,157863
01-08-2000,158030
01-09-2000,159878
01-10-2000,159245
01-11-2000,158455
01-12-2000,157956
01-01-2001,158789
01-02-2001,158394
01-03-2001,156985
01-04-2001,159188
01-05-2001,158768
01-06-2001,157795
